USERID,GENDER,RACE,PROVINCE,CHANNEL2,AGE_GROUP,DAY_OF_WEEK,TIME_BLOCK_SAST,TOTAL_SESSIONS,TOTAL_VIEWING_MINUTES,AVG_SESSION_LENGTH,UNIQUE_VIEWERS
822062,male,coloured,Free State,Africa Magic,Youth,Sat,Night,1,0.316667,0.316667000000,1
1108944,male,coloured,Western Cape,CNN,Kids,Thu,Afternoon,1,0.533333,0.533333000000,1
2369982,male,None,Mpumalanga,Africa Magic,Adults,Fri,Late Night,1,0.383333,0.383333000000,1
810403,male,white,Gauteng,ICC Cricket World Cup 2011,Adults,Sat,Afternoon,1,7.000000,7.000000000000,1
810440,male,None,Gauteng,Trace TV,Adults,Wed,Night,1,2.750000,2.750000000000,1
907908,male,black,Eastern Cape,CNN,Adults,Thu,Afternoon,1,0.583333,0.583333000000,1
810674,male,None,Gauteng,Cartoon Network,Adults,Sat,Night,1,0.266667,0.266667000000,1
263937,female,black,Free State,E! Entertainment,Adults,Fri,Night,1,0.000000,0.000000000000,1
810774,None,None,None,ICC Cricket World Cup 2011,Kids,Wed,Afternoon,1,7.300000,7.300000000000,1
771974,male,black,Eastern Cape,Trace TV,Youth,Wed,Morning,1,1.400000,1.400000000000,1
2369233,male,indian_asian,Mpumalanga,Supersport Live Events,Adults,Thu,Morning,1,8.733333,8.733333000000,1
893061,male,black,Gauteng,Boomerang,Youth,Wed,Night,1,1.066667,1.066667000000,1
789248,male,white,Western Cape,ICC Cricket World Cup 2011,Adults,Wed,Afternoon,1,3.966667,3.966667000000,1
2426670,male,black,Eastern Cape,ICC Cricket World Cup 2011,Adults,Tue,Afternoon,1,14.866667,14.866667000000,1
809649,male,black,Kwazulu Natal,Trace TV,Youth,Thu,Late Night,1,0.000000,0.000000000000,1
794226,male,coloured,Western Cape,E! Entertainment,Youth,Tue,Afternoon,1,8.066667,8.066667000000,1
867034,male,None,Gauteng,CNN,Youth,Sun,Night,1,1.133333,1.133333000000,1
794238,male,white,Mpumalanga,SuperSport Blitz,Youth,Sun,Night,1,1.500000,1.500000000000,1
832676,male,white,Gauteng,Supersport Live Events,Youth,Thu,Afternoon,1,1.666667,1.666667000000,1
2369979,female,black,North West,Africa Magic,Youth,Fri,Night,1,1.233333,1.233333000000,1
809871,male,black,Kwazulu Natal,Channel O,Kids,Mon,Afternoon,1,6.750000,6.750000000000,1
832844,female,None,Gauteng,ICC Cricket World Cup 2011,Youth,Wed,Afternoon,1,1.000000,1.000000000000,1
772787,male,black,Gauteng,Africa Magic,Adults,Sun,Afternoon,1,6.700000,6.700000000000,1
940755,female,coloured,Gauteng,Cartoon Network,Youth,Fri,Afternoon,1,3.016667,3.016667000000,1
810005,male,black,Mpumalanga,Trace TV,Youth,Fri,Afternoon,1,6.000000,6.000000000000,1
810013,male,other,Western Cape,Supersport Live Events,Adults,Fri,Afternoon,1,0.433333,0.433333000000,1
1966180,male,white,Gauteng,SuperSport Blitz,Adults,Sun,Night,1,1.933333,1.933333000000,1
810041,male,black,Kwazulu Natal,ICC Cricket World Cup 2011,Youth,Sat,Afternoon,1,34.600000,34.600000000000,1
810052,male,indian_asian,Limpopo,ICC Cricket World Cup 2011,Youth,Fri,Night,1,17.933333,17.933333000000,1
755243,female,black,Gauteng,Boomerang,Youth,Sat,Afternoon,1,0.000000,0.000000000000,1
763930,male,coloured,Western Cape,Channel O,Adults,Mon,Night,1,0.000000,0.000000000000,1
821702,male,black,Western Cape,ICC Cricket World Cup 2011,Youth,Sun,Morning,1,0.233333,0.233333000000,1
893599,male,black,Gauteng,Africa Magic,Youth,Sun,Night,1,0.150000,0.150000000000,1
585415,male,black,Mpumalanga,Africa Magic,Adults,Sat,Night,1,1.100000,1.100000000000,1
821746,male,black,North West,CNN,Youth,Mon,Night,1,0.000000,0.000000000000,1
893619,female,black,Western Cape,Cartoon Network,Adults,Sat,Afternoon,1,1.450000,1.450000000000,1
2370632,male,indian_asian,Limpopo,SuperSport Blitz,Adults,Sun,Afternoon,1,0.000000,0.000000000000,1
893771,male,indian_asian,Gauteng,ICC Cricket World Cup 2011,Adults,Sat,Afternoon,1,0.600000,0.600000000000,1
773044,male,black,Western Cape,Channel O,Youth,Mon,Afternoon,1,15.100000,15.100000000000,1
2361656,male,black,Western Cape,Supersport Live Events,Youth,Thu,Afternoon,1,3.733333,3.733333000000,1
2422534,male,indian_asian,Limpopo,ICC Cricket World Cup 2011,Youth,Wed,Afternoon,1,2.200000,2.200000000000,1
810329,male,black,Limpopo,SuperSport Blitz,Adults,Thu,Night,1,3.333333,3.333333000000,1
810367,male,coloured,Western Cape,Channel O,Youth,Wed,Night,1,8.450000,8.450000000000,1
867397,male,indian_asian,Gauteng,Trace TV,Youth,Sat,Afternoon,1,2.100000,2.100000000000,1
906812,male,indian_asian,Kwazulu Natal,ICC Cricket World Cup 2011,Youth,Tue,Afternoon,1,64.766667,64.766667000000,1
772796,male,black,Gauteng,Cartoon Network,Kids,Fri,Morning,1,0.483333,0.483333000000,1
893885,male,indian_asian,Gauteng,ICC Cricket World Cup 2011,Youth,Tue,Night,1,22.633333,22.633333000000,1
810411,male,white,Gauteng,ICC Cricket World Cup 2011,Adults,Fri,Afternoon,1,0.366667,0.366667000000,1
810440,male,None,Gauteng,ICC Cricket World Cup 2011,Adults,Wed,Afternoon,1,0.400000,0.400000000000,1
794763,male,black,Gauteng,CNN,Youth,Mon,Morning,1,0.566667,0.566667000000,1
551249,None,None,None,ICC Cricket World Cup 2011,Kids,Wed,Afternoon,1,3.833333,3.833333000000,1
908069,female,white,Gauteng,Boomerang,Adults,Thu,Afternoon,1,8.216667,8.216667000000,1
773329,male,black,Gauteng,Supersport Live Events,Adults,Fri,Night,1,8.033333,8.033333000000,1
810534,male,white,Gauteng,ICC Cricket World Cup 2011,Youth,Wed,Afternoon,1,7.266667,7.266667000000,1
773368,male,black,Gauteng,SuperSport Blitz,Adults,Wed,Night,1,16.333333,16.333333000000,1
822377,male,coloured,Western Cape,Trace TV,Adults,Mon,Morning,1,23.650000,23.650000000000,1
773444,male,white,Limpopo,Supersport Live Events,Senior,Fri,Morning,1,0.400000,0.400000000000,1
28240,male,None,Gauteng,Cartoon Network,Adults,Sun,Afternoon,1,0.783333,0.783333000000,1
810648,male,indian_asian,Kwazulu Natal,Trace TV,Adults,Wed,Afternoon,1,0.900000,0.900000000000,1
2371257,male,indian_asian,Limpopo,ICC Cricket World Cup 2011,Youth,Mon,Night,1,1.200000,1.200000000000,1
1008867,male,white,Gauteng,ICC Cricket World Cup 2011,Adults,Thu,Morning,1,0.000000,0.000000000000,1
1109496,male,None,Western Cape,Supersport Live Events,Youth,Sat,Afternoon,1,15.200000,15.200000000000,1
810710,male,black,Gauteng,SuperSport Blitz,Adults,Thu,Night,1,2.333333,2.333333000000,1
2371360,male,black,Western Cape,SuperSport Blitz,Youth,Tue,Afternoon,1,0.233333,0.233333000000,1
773016,male,black,Free State,Channel O,Adults,Fri,Morning,1,3.450000,3.450000000000,1
2415186,male,coloured,Western Cape,ICC Cricket World Cup 2011,Adults,Sun,Afternoon,1,6.433333,6.433333000000,1
941440,male,indian_asian,Gauteng,ICC Cricket World Cup 2011,Adults,Tue,Afternoon,1,1.566667,1.566667000000,1
131579,male,black,Gauteng,CNN,Adults,Tue,Night,1,0.000000,0.000000000000,1
103076,male,black,Free State,Supersport Live Events,Youth,Sun,Night,1,0.000000,0.000000000000,1
2205521,male,black,Eastern Cape,ICC Cricket World Cup 2011,Youth,Tue,Afternoon,1,2.233333,2.233333000000,1
817216,male,white,Kwazulu Natal,ICC Cricket World Cup 2011,Youth,Wed,Afternoon,1,2.933333,2.933333000000,1
18031,female,black,Gauteng,Supersport Live Events,Adults,Thu,Night,1,0.700000,0.700000000000,1
808983,male,coloured,Western Cape,CNN,Adults,Mon,Night,1,2.016667,2.016667000000,1
809018,male,black,Kwazulu Natal,Cartoon Network,Youth,Thu,Late Night,1,2.150000,2.150000000000,1
892557,male,black,Gauteng,Cartoon Network,Youth,Wed,Afternoon,1,9.216667,9.216667000000,1
939695,female,black,Gauteng,Cartoon Network,Youth,Fri,Afternoon,1,28.466667,28.466667000000,1
858517,None,None,None,Channel O,Kids,Fri,Night,1,2.400000,2.400000000000,1
820513,male,black,Western Cape,Trace TV,Kids,Tue,Night,1,15.850000,15.850000000000,1
809091,male,black,Gauteng,Channel O,Adults,Fri,Night,1,35.800000,35.800000000000,1
939792,male,indian_asian,Eastern Cape,ICC Cricket World Cup 2011,Youth,Wed,Afternoon,1,0.900000,0.900000000000,1
2091688,male,black,Gauteng,Boomerang,Youth,Sat,Night,1,0.733333,0.733333000000,1
939819,male,indian_asian,Kwazulu Natal,ICC Cricket World Cup 2011,Youth,Tue,Afternoon,1,15.366667,15.366667000000,1
779576,male,None,Kwazulu Natal,Cartoon Network,Youth,Tue,Late Night,1,48.150000,48.150000000000,1
894398,male,coloured,Western Cape,Trace TV,Youth,Wed,Morning,1,0.250000,0.250000000000,1
788857,male,white,Western Cape,Africa Magic,Adults,Sat,Afternoon,1,0.316667,0.316667000000,1
809169,male,black,Gauteng,Africa Magic,Adults,Mon,Late Night,1,4.600000,4.600000000000,1
2090745,male,coloured,Western Cape,ICC Cricket World Cup 2011,Adults,Mon,Afternoon,1,0.833333,0.833333000000,1
892770,male,white,Mpumalanga,ICC Cricket World Cup 2011,Youth,Sun,Afternoon,1,29.900000,29.900000000000,1
788949,male,white,Gauteng,Supersport Live Events,Youth,Thu,Afternoon,1,1.966667,1.966667000000,1
733756,female,indian_asian,Kwazulu Natal,Boomerang,Youth,Sat,Night,1,0.066667,0.066667000000,1
820728,male,black,Gauteng,Channel O,Youth,Fri,Morning,1,4.100000,4.100000000000,1
786343,male,indian_asian,Kwazulu Natal,Africa Magic,Adults,Tue,Night,1,0.166667,0.166667000000,1
803827,male,indian_asian,Limpopo,ICC Cricket World Cup 2011,Adults,Fri,Morning,1,0.133333,0.133333000000,1
789004,male,None,Northern Cape,Africa Magic,Adults,Wed,Night,1,1.483333,1.483333000000,1
809333,male,black,Gauteng,Trace TV,Youth,Wed,Morning,1,84.750000,84.750000000000,1
2426271,male,white,Mpumalanga,SuperSport Blitz,Adults,Wed,Afternoon,1,6.233333,6.233333000000,1
803897,male,white,Western Cape,Supersport Live Events,Youth,Thu,Afternoon,1,4.166667,4.166667000000,1
809382,male,black,Gauteng,Africa Magic,Youth,Sat,Night,1,14.516667,14.516667000000,1
772251,male,black,Gauteng,Channel O,Youth,Sat,Morning,1,0.350000,0.350000000000,1
809423,male,white,Mpumalanga,SuperSport Blitz,Youth,Tue,Night,1,11.700000,11.700000000000,1
764912,male,None,Kwazulu Natal,Trace TV,Youth,Sat,Afternoon,1,5.450000,5.450000000000,1
772325,male,black,Mpumalanga,ICC Cricket World Cup 2011,Youth,Mon,Morning,1,1.566667,1.566667000000,1
893029,male,None,Western Cape,Supersport Live Events,Adults,Thu,Morning,1,56.700000,56.700000000000,1
772341,male,None,Gauteng,Channel O,Youth,Sun,Afternoon,1,3.750000,3.750000000000,1
779859,male,black,Gauteng,Africa Magic,Youth,Fri,Morning,1,7.833333,7.833333000000,1
611190,male,black,Gauteng,E! Entertainment,Youth,Tue,Night,2,4.800000,2.400000000000,1
930713,male,white,Mpumalanga,MK,Youth,Mon,Morning,1,2.100000,2.100000000000,1
2369463,male,black,Gauteng,Africa Magic,Adults,Thu,Afternoon,1,0.266667,0.266667000000,1
809339,male,black,Limpopo,SuperSport Blitz,Adults,Sat,Afternoon,1,0.300000,0.300000000000,1
809362,male,black,Gauteng,Africa Magic,Adults,Mon,Night,1,0.000000,0.000000000000,1
892936,male,black,Northern Cape,Africa Magic,Youth,Sat,Afternoon,1,1.233333,1.233333000000,1
772309,male,black,Gauteng,Supersport Live Events,Youth,Thu,Afternoon,1,127.966667,127.966667000000,1
809547,male,indian_asian,Gauteng,Boomerang,Adults,Wed,Night,1,1.616667,1.616667000000,1
2287393,male,black,Kwazulu Natal,Channel O,Adults,Sun,Late Night,1,7.650000,7.650000000000,1
866880,male,indian_asian,Gauteng,ICC Cricket World Cup 2011,Kids,Fri,Night,1,1.033333,1.033333000000,1
860115,male,black,Gauteng,Channel O,Youth,Mon,Night,1,0.700000,0.700000000000,1
1132955,male,white,Western Cape,Supersport Live Events,Youth,Sun,Morning,1,12.833333,12.833333000000,1
821233,male,coloured,Western Cape,Boomerang,Youth,Wed,Night,1,0.000000,0.000000000000,1
794141,male,coloured,Kwazulu Natal,Trace TV,Youth,Wed,Late Night,1,9.450000,9.450000000000,1
860206,male,coloured,Northern Cape,ICC Cricket World Cup 2011,Youth,Sun,Afternoon,1,0.000000,0.000000000000,1
809707,male,black,Gauteng,Cartoon Network,Adults,Tue,Morning,1,2.050000,2.050000000000,1
866983,male,indian_asian,Free State,ICC Cricket World Cup 2011,Youth,Wed,Morning,1,10.933333,10.933333000000,1
772553,male,coloured,Western Cape,Boomerang,Youth,Fri,Late Night,1,2.816667,2.816667000000,1
2360820,male,black,North West,Channel O,Adults,Sun,Morning,1,9.150000,9.150000000000,1
533013,male,coloured,Eastern Cape,Supersport Live Events,Adults,Wed,Morning,1,16.733333,16.733333000000,1
869798,male,None,Gauteng,SawSee,Adults,Mon,Morning,1,0.816667,0.816667000000,1
940626,male,white,Gauteng,SuperSport Blitz,Kids,Fri,Night,1,5.633333,5.633333000000,1
832727,male,None,Western Cape,SuperSport Blitz,Youth,Sun,Night,1,2.133333,2.133333000000,1
809892,male,black,Gauteng,Supersport Live Events,Youth,Wed,Afternoon,1,0.900000,0.900000000000,1
772685,male,black,Gauteng,Supersport Live Events,Adults,Sat,Afternoon,1,36.166667,36.166667000000,1
893458,male,indian_asian,Gauteng,ICC Cricket World Cup 2011,Youth,Fri,Afternoon,1,9.466667,9.466667000000,1
893475,male,black,North West,Trace TV,Adults,Thu,Morning,1,2.150000,2.150000000000,1
867283,male,indian_asian,Limpopo,Supersport Live Events,Youth,Thu,Afternoon,1,3.733333,3.733333000000,1
2415121,male,black,Eastern Cape,Supersport Live Events,Youth,Wed,Afternoon,1,7.600000,7.600000000000,1
940779,male,indian_asian,Kwazulu Natal,Supersport Live Events,Youth,Thu,Afternoon,1,7.766667,7.766667000000,1
810013,male,other,Western Cape,CNN,Adults,Wed,Late Night,1,0.266667,0.266667000000,1
780254,male,coloured,Western Cape,Boomerang,Youth,Mon,Night,1,0.166667,0.166667000000,1
772826,male,black,Limpopo,Channel O,Youth,Tue,Afternoon,1,1.300000,1.300000000000,1
867333,male,indian_asian,Limpopo,ICC Cricket World Cup 2011,Youth,Wed,Afternoon,1,3.233333,3.233333000000,1
810063,male,coloured,Eastern Cape,Channel O,Youth,Wed,Morning,1,13.550000,13.550000000000,1
867375,male,black,North West,Africa Magic,Youth,Thu,Afternoon,1,0.483333,0.483333000000,1
809971,male,black,North West,E! Entertainment,Youth,Fri,Late Night,1,91.133333,91.133333000000,1
772932,male,black,Northern Cape,Africa Magic,Youth,Thu,Afternoon,1,23.433333,23.433333000000,1
772983,male,None,Gauteng,Supersport Live Events,Adults,Thu,Afternoon,1,0.066667,0.066667000000,1
810244,male,coloured,Western Cape,Trace TV,Youth,Sun,Night,1,0.000000,0.000000000000,1
810244,male,coloured,Western Cape,Cartoon Network,Youth,Thu,Late Night,1,1.950000,1.950000000000,1
773035,female,white,Western Cape,Cartoon Network,Senior,Mon,Afternoon,1,1.166667,1.166667000000,1
810290,male,white,Gauteng,ICC Cricket World Cup 2011,Adults,Fri,Afternoon,1,45.700000,45.700000000000,1
793382,None,None,None,Supersport Live Events,Kids,Sun,Morning,1,0.800000,0.800000000000,1
773098,male,black,North West,Channel O,Youth,Wed,Night,1,37.950000,37.950000000000,1
941186,male,indian_asian,Gauteng,Vuzu,Adults,Wed,Night,1,0.466667,0.466667000000,1
907285,male,None,Kwazulu Natal,Supersport Live Events,Adults,Thu,Afternoon,1,8.100000,8.100000000000,1
1108792,male,black,Free State,Trace TV,Youth,Sat,Night,1,8.500000,8.500000000000,1
780506,male,white,Western Cape,Boomerang,Youth,Sat,Afternoon,1,0.283333,0.283333000000,1
773149,male,coloured,Western Cape,Trace TV,Youth,Tue,Night,2,24.900000,12.450000000000,1
821351,male,coloured,Western Cape,Trace TV,Youth,Sun,Morning,1,13.900000,13.900000000000,1
28363,male,black,Gauteng,Supersport Live Events,Adults,Sun,Night,1,0.000000,0.000000000000,1
940635,male,black,Kwazulu Natal,Supersport Live Events,Adults,Mon,Afternoon,1,0.833333,0.833333000000,1
931460,male,indian_asian,Kwazulu Natal,kykNET,Youth,Thu,Late Night,1,3.550000,3.550000000000,1
810235,male,indian_asian,Gauteng,ICC Cricket World Cup 2011,Adults,Fri,Afternoon,1,12.733333,12.733333000000,1
821952,male,coloured,Eastern Cape,Cartoon Network,Youth,Tue,Late Night,1,1.016667,1.016667000000,1
773188,male,indian_asian,Northern Cape,Supersport Live Events,Youth,Sun,Afternoon,1,0.366667,0.366667000000,1
822136,male,black,Northern Cape,SuperSport Blitz,Adults,Wed,Night,1,0.466667,0.466667000000,1
804973,male,white,Western Cape,Boomerang,Adults,Sat,Afternoon,1,65.066667,65.066667000000,1
810445,male,None,Western Cape,SuperSport Blitz,Youth,Sat,Late Night,1,5.733333,5.733333000000,1
836784,female,None,Limpopo,ICC Cricket World Cup 2011,Adults,Sat,Afternoon,1,0.000000,0.000000000000,1
810508,male,white,Gauteng,ICC Cricket World Cup 2011,Adults,Wed,Afternoon,1,2.400000,2.400000000000,1
2422825,male,indian_asian,Free State,ICC Cricket World Cup 2011,Adults,Sun,Morning,1,9.233333,9.233333000000,1
620816,male,white,Gauteng,Supersport Live Events,Adults,Tue,Afternoon,1,0.533333,0.533333000000,1
805095,male,coloured,Western Cape,Channel O,Adults,Tue,Night,1,3.900000,3.900000000000,1
773342,male,None,Mpumalanga,Africa Magic,Adults,Sat,Afternoon,1,5.533333,5.533333000000,1
928673,male,coloured,Western Cape,Channel O,Youth,Tue,Afternoon,1,2.900000,2.900000000000,1
810571,female,black,Kwazulu Natal,Cartoon Network,Adults,Fri,Afternoon,1,0.050000,0.050000000000,1
2205429,male,black,Gauteng,Channel O,Adults,Sun,Afternoon,1,7.350000,7.350000000000,1
941531,male,black,Gauteng,Channel O,Adults,Thu,Morning,1,21.750000,21.750000000000,1
810611,male,coloured,Mpumalanga,SuperSport Blitz,Adults,Tue,Afternoon,1,3.733333,3.733333000000,1
773431,female,indian_asian,Kwazulu Natal,Boomerang,Youth,Wed,Afternoon,1,2.166667,2.166667000000,1
810651,male,indian_asian,Limpopo,ICC Cricket World Cup 2011,Adults,Fri,Morning,1,29.233333,29.233333000000,1
833663,male,None,Western Cape,Boomerang,Youth,Mon,Afternoon,1,2.050000,2.050000000000,1
810688,male,white,Gauteng,Supersport Live Events,Youth,Sat,Afternoon,1,0.633333,0.633333000000,1
773552,male,black,Gauteng,Boomerang,Adults,Thu,Night,1,5.950000,5.950000000000,1
771772,male,indian_asian,Gauteng,Supersport Live Events,Youth,Sun,Night,1,0.600000,0.600000000000,1
810772,male,white,Mpumalanga,SuperSport Blitz,Youth,Wed,Morning,1,0.166667,0.166667000000,1
810619,male,None,Western Cape,ICC Cricket World Cup 2011,Youth,Thu,Morning,1,32.766667,32.766667000000,1
859212,male,white,Eastern Cape,Supersport Live Events,Youth,Fri,Morning,1,13.533333,13.533333000000,1
904424,male,indian_asian,Limpopo,Supersport Live Events,Youth,Sat,Morning,1,8.166667,8.166667000000,1
809325,female,black,Eastern Cape,Channel O,Kids,Fri,Morning,1,1.200000,1.200000000000,1
305730,female,black,Kwazulu Natal,MK,Youth,Wed,Morning,1,0.633333,0.633333000000,1
189027,male,coloured,Free State,Channel O,Kids,Mon,Afternoon,1,3.700000,3.700000000000,1
809658,male,black,Western Cape,Supersport Live Events,Adults,Sat,Late Night,1,1.266667,1.266667000000,1
772606,male,black,Kwazulu Natal,Trace TV,Youth,Sun,Afternoon,2,5.250000,2.625000000000,1
2421855,male,indian_asian,Limpopo,SawSee,Adults,Thu,Late Night,1,13.016667,13.016667000000,1
819867,male,indian_asian,Limpopo,ICC Cricket World Cup 2011,Adults,Mon,Afternoon,1,4.666667,4.666667000000,1
2204601,male,black,Eastern Cape,CNN,Adults,Sat,Morning,1,2.300000,2.300000000000,1
2204601,male,black,Eastern Cape,CNN,Adults,Thu,Night,1,1.750000,1.750000000000,1
803034,None,None,None,Trace TV,Kids,Fri,Night,1,1.000000,1.000000000000,1
773141,male,black,Limpopo,E! Entertainment,Youth,Mon,Morning,1,3.500000,3.500000000000,1
462169,male,white,Gauteng,Supersport Live Events,Adults,Fri,Afternoon,1,0.000000,0.000000000000,1
822163,male,black,Gauteng,Africa Magic,Adults,Tue,Morning,1,0.383333,0.383333000000,1
903695,male,None,Kwazulu Natal,CNN,Senior,Mon,Morning,1,9.700000,9.700000000000,1
730294,male,black,Eastern Cape,Trace TV,Youth,Fri,Afternoon,1,73.850000,73.850000000000,1
2423099,female,black,Western Cape,Channel O,Adults,Sun,Late Night,1,9.150000,9.150000000000,1
861568,male,white,Gauteng,ICC Cricket World Cup 2011,Youth,Wed,Afternoon,1,4.800000,4.800000000000,1
370331,female,white,Gauteng,ICC Cricket World Cup 2011,Adults,Wed,Afternoon,2,7.633334,3.816667000000,1
941558,male,white,Gauteng,SuperSport Blitz,Adults,Wed,Afternoon,1,2.233333,2.233333000000,1
772946,male,black,Western Cape,Trace TV,Youth,Sun,Night,1,2.800000,2.800000000000,1
